FID,ARENA,ADDRESS,X,Y
0,Capri Pizzeria Recreation Complex,2555 Pulford St,-83.035508601000004,42.257920385500000
1,Adie Knox Arena,1551 Wyandotte St W,-83.053128283700005,42.306827924600000
2,Forest Glade Arena,3205 Forest Glade Dr,-82.915097188900006,42.304214234200003
3,WFCU Centre,8787 McHugh St,-82.927632092600007,42.318733580800000
